Entity,Code,Year,Gini Coefficient 2021,"GDP per Capita 2021 (PPP, constant 2017 international $)"
Armenia,ARM,2021,0.2794013,14193.117
Bolivia,BOL,2021,0.40913323,8052.1772
Brazil,BRA,2021,0.52916694,14592.353
Central African Republic,CAF,2021,0.43046424,837.5047
Colombia,COL,2021,0.5149927,14648.592
Costa Rica,CRI,2021,0.4867917,21199.281
Dominican Republic,DOM,2021,0.38529852,18626.078
Ecuador,ECU,2021,0.4580044,10668.758
El Salvador,SLV,2021,0.39012462,9086.047
Georgia,GEO,2021,0.34178618,15486.659
India,IND,2021,0.34214914,6592.042
Indonesia,IDN,2021,0.3791565,11858.146
Kenya,KEN,2021,0.3870376,4743.4863
Moldova,MDA,2021,0.25731638,14009.226
Panama,PAN,2021,0.50861204,29037.945
Paraguay,PRY,2021,0.42905566,13687.655
Peru,PER,2021,0.40249866,12514.651
Philippines,PHL,2021,0.37268466,8094.693
Thailand,THA,2021,0.35115325,17077.043
United States,USA,2021,0.39751095,63669.71
Uruguay,URY,2021,0.40777358,22800.69
Luxembourg,LUX,2021,0.3337364,115683.49
